idx,label
0,enter
1,walk
2,make_coffee
3,get_water
4,make_coffee.pour_water
5,use_drawer
6,make_coffee.pour_grains
7,use_telephone
8,leave
9,put_something_on_table
10,take_something_off_table
11,pour.from_kettle
12,stir_coffee/tea
13,drink.from_cup
14,dump_in_trash
15,make_tea
16,make_tea.boil_water
17,use_cupboard
18,insert_tea_bag
19,read
20,take_pills
21,use_fridge
22,clean_dishes
23,clean_dishes.put_something_in_sink
24,eat_snack
25,sit_down
26,watch_tv
27,use_laptop
28,get_up
29,drink.from_bottle
30,pour.from_bottle
31,drink.from_glass
32,lay_down
33,drink.from_can
34,write
35,breakfast
36,breakfast.spread_jam_or_butter
37,breakfast.cut_bread
38,breakfast.eat_at_table
39,breakfast.take_ham
40,clean_dishes.dry_up
41,wipe_table
42,cook
43,cook.cut
44,cook.use_stove
45,cook.stir
46,cook.use_oven
47,clean_dishes.clean_with_water
48,use_tablet
49,use_glasses
50,pour.from_can
